rank,movieId,title,year,genres,hybrid_score,human_like_score,semantic_relevance_adjusted_score,anchor_match_score,false_positive_risk,item_item_collab_score,rating_score,popularity_score,negative_semantic_relevance_score,negative_genre_score,recommendation_branch,recommendation_bucket,dominant_signal,semantic_branch,branch_strength,anchor_movies_matched,nearest_core_anchor_movies,core_semantic_explanation_terms,semantic_explanation_terms,why_this_matches,risk_explanation
11,1921,Pi (1998),1998.0,Drama|Sci-Fi|Thriller,0.36286583120138327,0.9923398328690808,0.9854381119758976,0.9164825452938578,0.43221793138092646,0.8833484436385615,0.3648531577579486,0.6250217639252417,0.8596995139195758,0.32075471698113206,sci_fi_reflective,muy_parecida_a_favoritas,semantic,sci_fi_reflective,strong,"Blade Runner (1982) | Shining, The (1980) | Blade Runner 2049 (2017); Edward Scissorhands (1990), Fear and Loathing in Las Vegas (1998), 2001: A Space Odyssey (1968)","Blade Runner (1982) | Shining, The (1980) | Blade Runner 2049 (2017)","tense, psychology, cinematography, existentialism, surrealism","tense, psychology, existentialism, surrealism, psychological","anclas cercanas: Blade Runner (1982) | Shining, The (1980) | Blade Runner 2049 (2017); Edward Scissorhands (1990), Fear and Loathing in Las Vegas (1998), 2001: A Space Odyssey (1968) | terminos afines: tense, psychology, cinematography, existentialism, surrealism; tense, psychology, existentialism, surrealism, psychological | rama sci_fi_reflective",riesgo medio: cercania a perfil negativo
12,1748,Dark City (1998),1998.0,Adventure|Film-Noir|Sci-Fi|Thriller,0.28106498344113867,0.9918755803156918,0.9959829274416269,0.9847547503314185,0.5057928814130651,0.9181021456633424,0.40217995001388496,0.6629688338147769,0.9708351745470615,0.2641509433962264,sci_fi_reflective,muy_parecida_a_favoritas,semantic,sci_fi_reflective,strong,"Blade Runner (1982) | Blade Runner 2049 (2017) | Ex Machina (2015); Gattaca (1997) | Blade Runner (1982) | Blade Runner 2049 (2017); Edward Scissorhands (1990), Coraline (2009), Fear and Loathing in Las Vegas (1998)",Blade Runner (1982) | Blade Runner 2049 (2017) | Ex Machina (2015),"dark, existentialism, dreamlike, surrealism, atmospheric","existentialism, dreamlike, surrealism, neo-noir, creepy","anclas cercanas: Blade Runner (1982) | Blade Runner 2049 (2017) | Ex Machina (2015); Gattaca (1997) | Blade Runner (1982) | Blade Runner 2049 (2017); Edward Scissorhands (1990), Coraline (2009), Fear and Loathing in Las Vegas (1998) | terminos afines: dark, existentialism, dreamlike, surrealism, atmospheric; existentialism, dreamlike, surrealism, neo-noir, creepy | rama sci_fi_reflective",riesgo medio: cercania a perfil negativo
13,5608,"Das Experiment (Experiment, The) (2001)",2001.0,Drama|Thriller,0.35713938878906093,0.984447539461467,0.8619131308059251,0.9768007070260716,0.38809150624791844,0.843155031731641,0.4230839416058394,0.3785918800652838,0.7255855059655325,0.24528301886792453,psychological_thriller,muy_parecida_a_favoritas,semantic,psychological_thriller,medium,"Departed, The (2006) | Dunkirk (2017) | Shutter Island (2010); City of God (Cidade de Deus) (2002), Downfall (Untergang, Der) (2004), 28 Days Later (2002)","Departed, The (2006) | Dunkirk (2017) | Shutter Island (2010)","psychology, psychological","psychology, psychological, thought-provoking","anclas cercanas: Departed, The (2006) | Dunkirk (2017) | Shutter Island (2010); City of God (Cidade de Deus) (2002), Downfall (Untergang, Der) (2004), 28 Days Later (2002) | terminos afines: psychology, psychological; psychology, psychological, thought-provoking | rama psychological_thriller",riesgo medio: cercania a perfil negativo
14,527,Schindler's List (1993),1993.0,Drama|War,0.42704332217793023,0.9823584029712163,0.8488576449912126,0.7660185594343791,0.3368320102153577,0.9830764581444545,0.6184951725818899,0.9430967369549207,0.6643835616438356,0.1509433962264151,psychological_thriller,riesgo_controlado,semantic,psychological_thriller,medium,"Nightcrawler (2014) | Blade Runner (1982) | Once Upon a Time in Hollywood (2019); Hate (Haine, La) (1995) | Nightcrawler (2014) | Blade Runner (1982); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013)",Nightcrawler (2014) | Blade Runner (1982) | Once Upon a Time in Hollywood (2019),"atmospheric, depressing, sad, hope, moving","depressing, hope, atmospheric, moving, thought-provoking","anclas cercanas: Nightcrawler (2014) | Blade Runner (1982) | Once Upon a Time in Hollywood (2019); Hate (Haine, La) (1995) | Nightcrawler (2014) | Blade Runner (1982); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013) | terminos afines: atmospheric, depressing, sad, hope, moving; depressing, hope, atmospheric, moving, thought-provoking | rama psychological_thriller",riesgo bajo: cercania a perfil negativo
15,3751,Chicken Run (2000),2000.0,Animation|Children|Comedy,0.4393482237294234,0.9811977715877437,0.854632186793874,0.8338488731771984,0.2484602382431861,0.8748866727107888,0.23436815353606177,0.7418407366572823,0.37759611135660626,0.09433962264150944,animation_family,muy_parecida_a_favoritas,semantic,animation_family,medium,"Toy Story 3 (2010) | Toy Story 2 (1999) | Monty Python's Life of Brian (1979); Toy Story 3 (2010) | Monsters, Inc. (2001) | Toy Story 2 (1999); Coraline (2009), Shrek 2 (2004), Toy Story 2 (1999)",Toy Story 3 (2010) | Toy Story 2 (1999) | Monty Python's Life of Brian (1979),"nostalgic, witty, childhood, life & death","nostalgic, childhood","anclas cercanas: Toy Story 3 (2010) | Toy Story 2 (1999) | Monty Python's Life of Brian (1979); Toy Story 3 (2010) | Monsters, Inc. (2001) | Toy Story 2 (1999); Coraline (2009), Shrek 2 (2004), Toy Story 2 (1999) | terminos afines: nostalgic, witty, childhood, life & death; nostalgic, childhood | rama animation_family",riesgo bajo: sin alertas fuertes
16,3910,Dancer in the Dark (2000),2000.0,Drama|Musical,0.3536231423020886,0.9784122562674095,0.880743158423299,0.9200176756517897,0.3726763472749615,0.7310365669386522,0.4224358974358975,0.4840327485402652,0.6948740609809987,0.1509433962264151,psychological_thriller,muy_parecida_a_favoritas,semantic,psychological_thriller,medium,"Departed, The (2006) | Once Upon a Time in Hollywood (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006); Edward Scissorhands (1990), Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Departed, The (2006) | Once Upon a Time in Hollywood (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006)","dark, stylized, sad, sad ending, tragedy","tragedy, dreams, dark, emotional","anclas cercanas: Departed, The (2006) | Once Upon a Time in Hollywood (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006); Edward Scissorhands (1990), Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001) | terminos afines: dark, stylized, sad, sad ending, tragedy; tragedy, dreams, dark, emotional | rama psychological_thriller",riesgo medio: cercania a perfil negativo
17,96829,"Hunt, The (Jagten) (2012)",2012.0,Drama,0.2479900997974035,0.973769730733519,0.8900326387145368,0.9969067609368095,0.5123470370461236,0.967059534602599,0.5467658215212619,0.4819585829739621,0.8910737958462218,0.1509433962264151,psychological_thriller,muy_parecida_a_favoritas,semantic,psychological_thriller,medium,"Ex Machina (2015) | Arrival (2016) | Parasite (2019); City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013), Nightcrawler (2014)",Ex Machina (2015) | Arrival (2016) | Parasite (2019),"cinematography, ambiguous ending, sad, social commentary, psychological thriller","ambiguous ending, psychological thriller, cinematography, psychological drama, open ending","anclas cercanas: Ex Machina (2015) | Arrival (2016) | Parasite (2019); City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013), Nightcrawler (2014) | terminos afines: cinematography, ambiguous ending, sad, social commentary, psychological thriller; ambiguous ending, psychological thriller, cinematography, psychological drama, open ending | rama psychological_thriller",riesgo medio: cercania a perfil negativo
18,4641,Ghost World (2001),2001.0,Comedy|Drama,0.30821758160808266,0.9723769730733519,0.864925935224705,0.9745912505523641,0.46458949656475995,0.8887881535207011,0.37269081186193476,0.5670065001292662,0.9551480335837385,0.24528301886792453,psychological_thriller,muy_parecida_a_favoritas,semantic,psychological_thriller,medium,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001) | Edward Scissorhands (1990) | Big Lebowski, The (1998); American Beauty (1999), Edward Scissorhands (1990), Fear and Loathing in Las Vegas (1998)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001) | Edward Scissorhands (1990) | Big Lebowski, The (1998)","surrealism, depressing, stylized, bittersweet, quirky","surrealism, depressing, bittersweet, irony, ironic","anclas cercanas: Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001) | Edward Scissorhands (1990) | Big Lebowski, The (1998); American Beauty (1999), Edward Scissorhands (1990), Fear and Loathing in Las Vegas (1998) | terminos afines: surrealism, depressing, stylized, bittersweet, quirky; surrealism, depressing, bittersweet, irony, ironic | rama psychological_thriller",riesgo medio: cercania a perfil negativo
19,2594,Open Your Eyes (Abre los ojos) (1997),1997.0,Drama|Romance|Sci-Fi|Thriller,0.3065350882741895,0.9721448467966574,0.8792367562139091,0.9865223155103845,0.4795653488238511,0.8488969477183439,0.44271000965561647,0.40012799005560895,0.9529385771100309,0.37735849056603776,psychological_thriller,muy_parecida_a_favoritas,semantic,psychological_thriller,medium,"Ex Machina (2015) | Donnie Darko (2001) | Arrival (2016); Ex Machina (2015) | Donnie Darko (2001) | Gattaca (1997); City of God (Cidade de Deus) (2002), Downfall (Untergang, Der) (2004), Donnie Darko (2001)",Ex Machina (2015) | Donnie Darko (2001) | Arrival (2016),"dark, psychology, psychological, surreal, psychological thriller","psychology, psychological, psychological thriller, dreams, dark","anclas cercanas: Ex Machina (2015) | Donnie Darko (2001) | Arrival (2016); Ex Machina (2015) | Donnie Darko (2001) | Gattaca (1997); City of God (Cidade de Deus) (2002), Downfall (Untergang, Der) (2004), Donnie Darko (2001) | terminos afines: dark, psychology, psychological, surreal, psychological thriller; psychology, psychological, psychological thriller, dreams, dark | rama psychological_thriller",riesgo medio: cercania a perfil negativo
20,1304,Butch Cassidy and the Sundance Kid (1969),1969.0,Action|Western,0.2272321707527584,0.9700557103064067,0.8337936228973136,0.9262041537781706,0.4030846511108927,0.9329102447869447,0.5209671916756702,0.6971851058789638,0.8663278833406982,0.1320754716981132,general,muy_parecida_a_favoritas,semantic,general,medium,"Once Upon a Time in Hollywood (2019) | Blade Runner 2049 (2017) | No Country for Old Men (2007); Cinema Paradiso (Nuovo cinema Paradiso) (1989), American Beauty (1999), Shining, The (1980)",Once Upon a Time in Hollywood (2019) | Blade Runner 2049 (2017) | No Country for Old Men (2007),"nostalgic, witty, bittersweet","nostalgic, bittersweet, visually appealing","anclas cercanas: Once Upon a Time in Hollywood (2019) | Blade Runner 2049 (2017) | No Country for Old Men (2007); Cinema Paradiso (Nuovo cinema Paradiso) (1989), American Beauty (1999), Shining, The (1980) | terminos afines: nostalgic, witty, bittersweet; nostalgic, bittersweet, visually appealing | rama general",riesgo medio: cercania a perfil negativo
