tag_clean,semantic_category,semantic_match_reason,n_uses,n_movies,n_users,top_user_uses,top_user_share,pct_movies,idf,passes_statistical_filters,is_reliable_tag,hard_rejection_reason,semantic_rejection_reason,rejection_reason_statistical
cerebral,narrative_structure,cerebral,827,101,444,38,0.045949214026602174,0.004690257267576855,6.35246198420394,True,True,,,
time loop,narrative_structure,time loop,1055,92,579,72,0.06824644549763033,0.004272313550664066,6.444835304334955,True,True,,,
predictable ending,narrative_structure,ending,242,86,159,19,0.07851239669421488,0.00399368440605554,6.5115266788336275,True,True,,,
character study,narrative_structure,character study,305,81,216,11,0.036065573770491806,0.0037614934522151016,6.570715550223958,True,True,,,
fast paced,narrative_structure,paced,264,73,188,6,0.022727272727272728,0.0033899879260704,6.673369704284041,True,True,,,
great ending,narrative_structure,ending,1188,59,645,13,0.010942760942760943,0.0027398532553171728,6.883090235266111,True,True,,,
weak ending,narrative_structure,ending,245,57,190,5,0.02040816326530612,0.0026469768737809973,6.916991786941792,True,True,,,
open ending,narrative_structure,open ending,211,56,154,8,0.037914691943127965,0.00260053868301291,6.934383529653661,True,True,,,
slow burn,narrative_structure,slow burn,169,55,120,8,0.047337278106508875,0.0025541004922448223,6.9520831067530615,True,True,,,
no ending,narrative_structure,ending,74,50,38,19,0.25675675675675674,0.0023219095384043836,7.045609164763885,True,True,,,
stupid ending,narrative_structure,ending,147,44,108,9,0.061224489795918366,0.0020432803937958577,7.1707723077178915,True,True,,,
good ending,narrative_structure,ending,116,44,103,4,0.034482758620689655,0.0020432803937958577,7.1707723077178915,True,True,,,
unexpected ending,narrative_structure,ending,256,43,197,6,0.0234375,0.00199684220302777,7.19324516356995,True,True,,,
plot twists,narrative_structure,plot twist,218,39,184,4,0.01834862385321101,0.0018110894399554194,7.2885553433742745,True,True,,,
abrupt ending,narrative_structure,ending,62,35,45,8,0.12903225806451613,0.0016253366768830687,7.393915859032101,True,True,,,
puzzle,narrative_structure,puzzle,91,34,65,18,0.1978021978021978,0.001578898486114981,7.422086735998797,True,True,,,
unsatisfying ending,narrative_structure,ending,109,32,93,6,0.05504587155963303,0.0014860221045788055,7.4809272360217305,True,True,,,
ending kinda ruined it,narrative_structure,ending,103,32,94,3,0.02912621359223301,0.0014860221045788055,7.4809272360217305,True,True,,,
unreliable narrator,narrative_structure,unreliable narrator,91,31,65,15,0.16483516483516483,0.001439583913810718,7.511698894688484,True,True,,,
confusing plot,narrative_structure,confusing,88,31,78,3,0.03409090909090909,0.001439583913810718,7.511698894688484,True,True,,,
disappointing ending,narrative_structure,ending,62,31,53,2,0.03225806451612903,0.001439583913810718,7.511698894688484,True,True,,,
non-linear,narrative_structure,non-linear,134,30,110,8,0.05970149253731343,0.0013931457230426303,7.543447593003065,True,True,,,
bittersweet ending,narrative_structure,ending,48,26,37,5,0.10416666666666667,0.0012073929599702795,7.681597931483882,True,True,,,
tragic ending,narrative_structure,ending,38,26,16,21,0.5526315789473685,0.0012073929599702795,7.681597931483882,True,True,,,
powerful ending,narrative_structure,ending,803,24,535,8,0.009962640099626401,0.0011145165784341043,7.75855897262001,True,True,,,
unhappy ending,narrative_structure,ending,30,21,15,16,0.5333333333333333,0.0009752020061298412,7.886392344129895,True,True,,,
no happy ending,narrative_structure,ending,101,18,89,3,0.0297029702970297,0.0008358874338255781,8.032995818321771,True,True,,,
cheesy ending,narrative_structure,ending,68,18,64,2,0.029411764705882353,0.0008358874338255781,8.032995818321771,True,True,,,
lame ending,narrative_structure,ending,68,18,61,3,0.04411764705882353,0.0008358874338255781,8.032995818321771,True,True,,,
ending twist,narrative_structure,twist,113,17,106,2,0.017699115044247787,0.0007894492430574905,8.087063039592046,True,True,,,
unreliable narrators,narrative_structure,unreliable narrator,76,16,61,6,0.07894736842105263,0.0007430110522894028,8.144221453431996,True,True,,,
twisted ending,narrative_structure,ending,136,15,120,3,0.022058823529411766,0.0006965728615213151,8.20484607524843,True,True,,,
slow-paced,narrative_structure,paced,18,15,17,2,0.1111111111111111,0.0006965728615213151,8.20484607524843,True,True,,,
voiceover,narrative_structure,voiceover,17,15,9,4,0.23529411764705882,0.0006965728615213151,8.20484607524843,True,True,,,
terrible ending,narrative_structure,ending,31,14,30,2,0.06451612903225806,0.0006501346707532275,8.269384596386,True,True,,,
nonlinear narrative,narrative_structure,nonlinear,36,13,29,7,0.19444444444444445,0.0006036964799851398,8.338377467872952,True,True,,,
rushed ending,narrative_structure,ending,24,13,20,2,0.08333333333333333,0.0006036964799851398,8.338377467872952,True,True,,,
jigsaw puzzle,narrative_structure,puzzle,17,13,6,10,0.5882352941176471,0.0006036964799851398,8.338377467872952,True,True,,,
puzzle solving,narrative_structure,puzzle,65,12,49,5,0.07692307692307693,0.0005572582892170521,8.412485440026675,True,True,,,
unpredictable ending,narrative_structure,ending,145,11,141,3,0.020689655172413793,0.0005108200984489644,8.49252814770021,True,True,,,
fast-paced,narrative_structure,paced,27,11,22,4,0.14814814814814814,0.0005108200984489644,8.49252814770021,True,True,,,
confusing ending,narrative_structure,ending,109,10,100,2,0.01834862385321101,0.00046438190768087673,8.57953952468984,True,True,,,
poorly paced,narrative_structure,paced,40,10,37,3,0.075,0.00046438190768087673,8.57953952468984,True,True,,,
alternate ending,narrative_structure,ending,12,10,7,6,0.5,0.00046438190768087673,8.57953952468984,True,True,,,
bizarre ending,narrative_structure,ending,34,9,31,2,0.058823529411764705,0.00041794371691278906,8.674849704494164,True,True,,,
strange ending,narrative_structure,ending,21,8,19,2,0.09523809523809523,0.0003715055261447014,8.780210220151991,True,True,,,
hollywood ending,narrative_structure,ending,20,8,17,3,0.15,0.0003715055261447014,8.780210220151991,True,True,,,
mystery thriller,narrative_structure,mystery,20,8,19,2,0.1,0.0003715055261447014,8.780210220151991,True,True,,,
horrible ending,narrative_structure,ending,16,8,15,2,0.125,0.0003715055261447014,8.780210220151991,True,True,,,
poor ending,narrative_structure,ending,14,8,14,1,0.07142857142857142,0.0003715055261447014,8.780210220151991,True,True,,,
weird ending,narrative_structure,ending,12,8,11,2,0.16666666666666666,0.0003715055261447014,8.780210220151991,True,True,,,
bitter ending,narrative_structure,ending,11,8,6,4,0.36363636363636365,0.0003715055261447014,8.780210220151991,True,True,,,
dream sequences,narrative_structure,dream sequence,9,8,8,2,0.2222222222222222,0.0003715055261447014,8.780210220151991,True,True,,,
shocking ending,narrative_structure,ending,44,7,41,3,0.06818181818181818,0.00032506733537661375,8.897993255808375,True,True,,,
cliche ending,narrative_structure,ending,40,7,36,3,0.075,0.00032506733537661375,8.897993255808375,True,True,,,
interrogation flashback,narrative_structure,flashback,13,7,8,6,0.46153846153846156,0.00032506733537661375,8.897993255808375,True,True,,,
over-the-top ending,narrative_structure,ending,11,7,8,4,0.36363636363636365,0.00032506733537661375,8.897993255808375,True,True,,,
stupid twist,narrative_structure,twist,18,6,17,2,0.1111111111111111,0.00027862914460852607,9.031524648432898,True,True,,,
unrealistic ending,narrative_structure,ending,13,6,13,1,0.07692307692307693,0.00027862914460852607,9.031524648432898,True,True,,,
the ending,narrative_structure,ending,11,6,9,3,0.2727272727272727,0.00027862914460852607,9.031524648432898,True,True,,,
satisfying ending,narrative_structure,ending,8,6,8,1,0.125,0.00027862914460852607,9.031524648432898,True,True,,,
downer ending,narrative_structure,ending,6,6,6,1,0.16666666666666666,0.00027862914460852607,9.031524648432898,True,True,,,
unresolved ending,narrative_structure,ending,6,6,5,2,0.3333333333333333,0.00027862914460852607,9.031524648432898,True,True,,,
wtf ending,narrative_structure,ending,38,5,37,2,0.05263157894736842,0.00023219095384043837,9.185675328260157,True,True,,,
surprising ending,narrative_structure,ending,32,5,31,2,0.0625,0.00023219095384043837,9.185675328260157,True,True,,,
puzzle thriller,narrative_structure,puzzle,24,5,21,3,0.125,0.00023219095384043837,9.185675328260157,True,True,,,
dumb ending,narrative_structure,ending,22,5,21,2,0.09090909090909091,0.00023219095384043837,9.185675328260157,True,True,,,
ending sucked,narrative_structure,ending,16,5,15,2,0.125,0.00023219095384043837,9.185675328260157,True,True,,,
ending lame,narrative_structure,ending,15,5,15,1,0.06666666666666667,0.00023219095384043837,9.185675328260157,True,True,,,
crap ending,narrative_structure,ending,14,5,14,1,0.07142857142857142,0.00023219095384043837,9.185675328260157,True,True,,,
bad twist ending,narrative_structure,twist ending,7,5,7,1,0.14285714285714285,0.00023219095384043837,9.185675328260157,True,True,,,
coming of age,theme,coming of age,4494,1029,1133,439,0.09768580329327993,0.04778489830036222,4.040120716264529,True,True,,,
father daughter relationship,theme,father,1517,974,287,767,0.5056031641397495,0.045230797808117396,4.094997326490364,True,True,,,
family relationships,theme,family relationships,1305,925,245,702,0.5379310344827586,0.0429553264604811,4.146560562842032,True,True,,,
politics,theme,politics,2416,836,718,427,0.1767384105960265,0.0388223274821213,4.247610726998736,True,True,,,
religion,theme,religion,2163,776,651,346,0.15996301433194637,0.036036036036036036,4.321994447120563,True,True,,,
social commentary,theme,social commentary,5201,692,1529,160,0.030763314747164008,0.03213522801151667,4.436404798298307,True,True,,,
mental illness,theme,mental illness,2698,578,942,208,0.0770941438102298,0.026841274263954676,4.6161323199152156,True,True,,,
racism,theme,racism,1718,576,577,303,0.17636786961583237,0.0267483978824185,4.619592530980111,True,True,,,
alien,theme,alien,992,488,229,455,0.4586693548387097,0.022661837094826786,4.785072308013339,True,True,,,
obsession,theme,obsession,946,468,329,339,0.3583509513742072,0.021733073279465033,4.826832029041931,True,True,,,
dystopia,theme,dystopia,5713,441,1568,338,0.05916331174514266,0.020479242128726666,4.886124915410512,True,True,,,
redemption,theme,redemption,814,416,289,250,0.3071253071253071,0.019318287359524473,4.94434857568941,True,True,,,
loneliness,theme,loneliness,1635,399,688,249,0.15229357798165138,0.01852883811646698,4.985970250380229,True,True,,,
aliens,theme,aliens,3642,391,976,141,0.03871499176276771,0.018157332590322282,5.006172957697748,True,True,,,
memory,theme,memory,1031,386,402,340,0.3297769156159069,0.01792514163648184,5.019010104458429,True,True,,,
grief,theme,grief,552,354,162,213,0.3858695652173913,0.016439119531903038,5.105317008012795,True,True,,,
psychological,theme,psychological,4081,353,1483,52,0.01274197500612595,0.01639268134113495,5.108137884354437,True,True,,,
father-son relationship,theme,father,1218,348,458,64,0.052545155993431854,0.016160490387294512,5.122362875285784,True,True,,,
psychology,theme,psychology,4847,326,1675,65,0.013410356921807304,0.015138850190396583,5.187474626590958,True,True,,,
space,theme,space,3971,306,1376,127,0.0319818685469655,0.014210086375034828,5.250587049901013,True,True,,,
robot,theme,robot,533,297,170,259,0.48592870544090055,0.01379214265812204,5.280341310982807,True,True,,,
post-apocalyptic,theme,post-apocalyptic,2881,279,1062,170,0.05900728913571676,0.012956255224296461,5.342645194318961,True,True,,,
guilt,theme,guilt,380,278,97,221,0.5815789473684211,0.012909817033528373,5.346223015666846,True,True,,,
feminism,theme,feminism,1127,269,459,80,0.0709849157054126,0.012491873316615585,5.379012838489836,True,True,,,
single mother,theme,mother,358,252,100,200,0.5586592178770949,0.011702424073558095,5.444045308760691,True,True,,,
apocalypse,theme,apocalypse,1271,248,522,150,0.11801730920535011,0.011516671310485744,5.459981901023503,True,True,,,
mistaken identity,theme,identity,364,246,100,203,0.5576923076923077,0.011423794928949568,5.468046460860234,True,True,,,
childhood,theme,childhood,605,229,283,77,0.12727272727272726,0.010634345685892077,5.539355488565016,True,True,,,
technology,theme,technology,1090,224,498,110,0.10091743119266056,0.01040215473205164,5.561334395283791,True,True,,,
philosophy,theme,philosophy,2089,217,999,118,0.05648635710866443,0.010077087396675026,5.592939734699122,True,True,,,
philosophical,theme,philosophical,2204,213,1074,44,0.019963702359346643,0.009891334633602675,5.611458782466359,True,True,,,
space travel,theme,space,1328,211,579,149,0.11219879518072289,0.009798458252066499,5.620848522816199,True,True,,,
faith,theme,faith,307,209,96,141,0.4592833876221498,0.009705581870530324,5.630327266770743,True,True,,,
class differences,theme,class,283,201,70,155,0.5477031802120141,0.009334076344385623,5.669167100087006,True,True,,,
trauma,theme,trauma,238,190,61,129,0.542016806722689,0.008823256245936658,5.725161369441581,True,True,,,
psychological thriller,theme,psychological,771,185,400,89,0.11543450064850844,0.00859106529209622,5.7516881237750095,True,True,,,
artificial intelligence,theme,artificial intelligence,2652,184,1096,128,0.048265460030165915,0.008544627101328132,5.757078972409886,True,True,,,
alien invasion,theme,alien,854,182,343,121,0.14168618266978922,0.008451750719791956,5.76794864464679,True,True,,,
existentialism,theme,existentialism,1095,170,617,91,0.08310502283105023,0.007894492430574905,5.835771240985551,True,True,,,
capitalism,theme,capitalism,377,167,175,76,0.20159151193633953,0.0077551778582706414,5.8534708180849515,True,True,,,
morality,theme,morality,420,163,240,76,0.18095238095238095,0.007569425095198291,5.877568369664012,True,True,,,
