tag_clean,rejection_source,rejection_reason,semantic_category,n_uses,n_movies,n_users,top_user_share,pct_movies,idf
erlend's dvds,hard_rules,admin_platform,,16,16,5,0.5,0.0007430110522894028,8.144221453431996
jb's dvds,hard_rules,admin_platform,,13,13,1,1.0,0.0006036964799851398,8.338377467872952
blurred boundaries,hard_rules,admin_platform,,15,12,2,0.7333333333333333,0.0005572582892170521,8.412485440026675
bludgeoned to death,hard_rules,admin_platform,theme,12,12,1,1.0,0.0005572582892170521,8.412485440026675
bluff,hard_rules,admin_platform,,19,10,12,0.42105263157894735,0.00046438190768087673,8.57953952468984
blue eyes,hard_rules,admin_platform,,10,10,1,1.0,0.00046438190768087673,8.57953952468984
blurry vision,hard_rules,admin_platform,,10,10,1,1.0,0.00046438190768087673,8.57953952468984
netflix dvd,hard_rules,admin_platform,,10,10,2,0.5,0.00046438190768087673,8.57953952468984
netflix usa,hard_rules,admin_platform,,10,10,1,1.0,0.00046438190768087673,8.57953952468984
blue hair,hard_rules,admin_platform,,12,9,4,0.6666666666666666,0.00041794371691278906,8.674849704494164
blunt,hard_rules,admin_platform,,9,9,6,0.4444444444444444,0.00041794371691278906,8.674849704494164
blue blood,hard_rules,admin_platform,,9,8,2,0.8888888888888888,0.0003715055261447014,8.780210220151991
blu-ray 3d,hard_rules,admin_platform,,8,8,1,1.0,0.0003715055261447014,8.780210220151991
collection,hard_rules,admin_platform,,8,8,1,1.0,0.0003715055261447014,8.780210220151991
don bluth,hard_rules,admin_platform,,17,7,13,0.17647058823529413,0.00032506733537661375,8.897993255808375
blue dress,hard_rules,admin_platform,,7,7,1,1.0,0.00032506733537661375,8.897993255808375
the criterion channel,hard_rules,admin_platform,,7,7,1,1.0,0.00032506733537661375,8.897993255808375
blue jeans,hard_rules,admin_platform,,6,6,1,1.0,0.00027862914460852607,9.031524648432898
netflix original film,hard_rules,admin_platform,,6,6,1,1.0,0.00027862914460852607,9.031524648432898
netflixq,hard_rules,admin_platform,,6,6,6,0.16666666666666666,0.00027862914460852607,9.031524648432898
blue collar worker,hard_rules,admin_platform,,6,5,2,0.8333333333333334,0.00023219095384043837,9.185675328260157
blues singer,hard_rules,admin_platform,,6,5,3,0.6666666666666666,0.00023219095384043837,9.185675328260157
netflixbacklist,hard_rules,admin_platform,,6,5,2,0.8333333333333334,0.00023219095384043837,9.185675328260157
blue light,hard_rules,admin_platform,,5,5,1,1.0,0.00023219095384043837,9.185675328260157
bluegrass music,hard_rules,admin_platform,,5,5,1,1.0,0.00023219095384043837,9.185675328260157
blurred vision,hard_rules,admin_platform,,5,5,1,1.0,0.00023219095384043837,9.185675328260157
pabst blue ribbon beer,hard_rules,admin_platform,,5,5,1,1.0,0.00023219095384043837,9.185675328260157
bluegrass,hard_rules,admin_platform,,27,4,24,0.1111111111111111,0.0001857527630723507,9.36799688505411
blunt existentialism,hard_rules,admin_platform,theme,9,4,6,0.4444444444444444,0.0001857527630723507,9.36799688505411
bluish,hard_rules,admin_platform,,5,4,2,0.8,0.0001857527630723507,9.36799688505411
blue bra,hard_rules,admin_platform,,4,4,1,1.0,0.0001857527630723507,9.36799688505411
blue skinned alien,hard_rules,admin_platform,theme,4,4,1,1.0,0.0001857527630723507,9.36799688505411
blunderbuss,hard_rules,admin_platform,,4,4,2,0.75,0.0001857527630723507,9.36799688505411
bluray,hard_rules,admin_platform,,4,4,2,0.75,0.0001857527630723507,9.36799688505411
blushing,hard_rules,admin_platform,,4,4,1,1.0,0.0001857527630723507,9.36799688505411
movies i own-dvd,hard_rules,admin_platform,,4,4,1,1.0,0.0001857527630723507,9.36799688505411
netflix instant,hard_rules,admin_platform,,4,4,1,1.0,0.0001857527630723507,9.36799688505411
reference to bluebeard,hard_rules,admin_platform,,4,4,1,1.0,0.0001857527630723507,9.36799688505411
blu ray,hard_rules,admin_platform,,3,3,2,0.6666666666666666,0.00013931457230426304,9.59114043636832
blu ray disc,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blue fur,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blue man,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blue paint,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blue screen,hard_rules,admin_platform,,3,3,2,0.6666666666666666,0.00013931457230426304,9.59114043636832
blue sky,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blue sky studios,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blueberry pie,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
bluebird,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blues rock,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
bluetooth,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blumhouse,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
bought the dvd,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
dvd extra,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
netflix riff-raff,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
netflix top pick,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
reference to netflix,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
rhythm and blues,hard_rules,admin_platform,,3,3,2,0.6666666666666666,0.00013931457230426304,9.59114043636832
the color blue,hard_rules,admin_platform,,3,3,1,1.0,0.00013931457230426304,9.59114043636832
blue pill,hard_rules,admin_platform,,5,2,4,0.4,9.287638153617534e-05,9.878822508820102
blue haired woman,hard_rules,admin_platform,,4,2,3,0.5,9.287638153617534e-05,9.878822508820102
dvd:alternate endings,hard_rules,admin_platform,,4,2,4,0.25,9.287638153617534e-05,9.878822508820102
blue division,hard_rules,admin_platform,,3,2,2,0.6666666666666666,9.287638153617534e-05,9.878822508820102
inner city blues,hard_rules,admin_platform,,3,2,2,0.6666666666666666,9.287638153617534e-05,9.878822508820102
blind man's bluff game,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
block blunder,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
blue balls,hard_rules,admin_platform,,2,2,2,0.5,9.287638153617534e-05,9.878822508820102
blue collar comedy,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
blue danube waltz,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
blue hoodie,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
blue moon,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
bluebells,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
blueberry,hard_rules,admin_platform,,2,2,2,0.5,9.287638153617534e-05,9.878822508820102
blues singing,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
bluffing,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
blurred nudity,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
operation blue star,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
reference to blue cross insurance,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
reference to jeff goldblum,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
the blue falcon character,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
woman wears a blue one piece swimsuit,hard_rules,admin_platform,,2,2,1,1.0,9.287638153617534e-05,9.878822508820102
blue indians in space,hard_rules,admin_platform,theme,6,1,6,0.16666666666666666,4.643819076808767e-05,10.284287616928266
bluntman and chronic,hard_rules,admin_platform,,4,1,4,0.25,4.643819076808767e-05,10.284287616928266
blue steel,hard_rules,admin_platform,,3,1,3,0.3333333333333333,4.643819076808767e-05,10.284287616928266
blue john canyon,hard_rules,admin_platform,,2,1,2,0.5,4.643819076808767e-05,10.284287616928266
blunt force trauma causing death,hard_rules,admin_platform,theme,2,1,2,0.5,4.643819076808767e-05,10.284287616928266
netflix movie,hard_rules,admin_platform,,2,1,2,0.5,4.643819076808767e-05,10.284287616928266
netflix originals,hard_rules,admin_platform,,2,1,2,0.5,4.643819076808767e-05,10.284287616928266
netflix trash,hard_rules,admin_platform,,2,1,2,0.5,4.643819076808767e-05,10.284287616928266
real blues,hard_rules,admin_platform,,2,1,2,0.5,4.643819076808767e-05,10.284287616928266
see: three colors: blue,hard_rules,admin_platform,,2,1,2,0.5,4.643819076808767e-05,10.284287616928266
architecural blueprint,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
babe the blue ox character,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
baby blues,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blu ray disc player,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blu ray player,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue alien,hard_rules,admin_platform,theme,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue beetle character,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue bikini,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue bird,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue bird of happiness,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue bodice,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue bra and panties,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue comedy,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue contact lens,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue eyed blonde,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue flames,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue flower,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue footed booby,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue grass band,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue helmets,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue jean jacket,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue liquid,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue man group,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue orchid,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue ribbon,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue ringed octopus,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue room,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue rose,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue shift,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue skirt,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue sky not pixar,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue star,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue tie,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue tongue,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blue-collar,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
bluebeard,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blueberry muffin,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
bluepeople,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
bluetooth headset,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
bluff the imposter,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
bluffing to get information,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blunder,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blurred camera shot,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blurred face,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blurred female nudity,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blurred sight,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blurry,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blurry figure,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blurry figure in foreground moves past,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
blury shot,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
bluy-ray,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
bought the dvd.,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
cheap netflix,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
criterion collection,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dakota blue richards,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
deep blue diamond,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
delta blues,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
director: jacob kornbluth,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dvd commentary,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dvd+rw,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
emerald cut blue topaz ring,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
extra blurry action scenes,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
french blue diamond,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
getdvd,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
good dvd features,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
géla babluani,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
is available on netflix,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
large blue man-arse,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
london blue diamond,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
man wears a blue suit,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
man wears a blue tuxedo,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
marc blucas,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
misrepresented on dvd,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
netflix india,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
netflix instant watching,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
netflix production,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
netflix uk,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
netflix-coded,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
"netflix.es,",hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
no blu-ray on netflix,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
no dvd at netflix,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
no dvd release,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
not on netflix dvd,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
on netflix,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
pabst blue ribbon,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
perfect blue ripoff,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
pirated dvd,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
portuguese language netflix original film,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
recorded,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to blu ray,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to blu ray disc,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to blue beetle,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to blue oyster cult,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to blues traveler the band,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to bluetooth,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to leon blum,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to pabst blue ribbon beer,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to the blue bird,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to the blues brothers,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
reference to the moody blues,hard_rules,admin_platform,tone_atmosphere,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
rental dvd,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
rhythm and blues band offscreen,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
rhythm and blues music,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
ripped blue jeans,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
straight to dvd,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
u.s.s. blueback,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
woman bludgeoned to death,hard_rules,admin_platform,theme,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
woman wears a blue baby doll,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
woman wears a blue bikini,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
woman wears a blue bra and panties,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
woman wears blue lingerie,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
woman wears navy blue fingernail polish,hard_rules,admin_platform,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
oscar nominee: best picture,hard_rules,award,,1098,395,216,0.35063752276867033,0.01834308535339463,4.99602058623373
oscar (best cinematography),hard_rules,award,visual_style,623,112,254,0.1476725521669342,0.00520107736602582,6.25004697877587
oscar (best picture),hard_rules,award,,1295,96,469,0.06023166023166023,0.004458066313736417,6.402723818984828
oscar (best directing),hard_rules,award,,596,91,222,0.12248322147651007,0.004225875359895978,6.455646220439171
oscar winner: best picture,hard_rules,award,,227,91,85,0.3964757709251101,0.004225875359895978,6.455646220439171
cannes,hard_rules,award,,100,90,19,0.55,0.004179437169127891,6.4665752909713605
oscar (best actress),hard_rules,award,,330,80,135,0.21515151515151515,0.003715055261447014,6.582985642815772
oscar (best actor),hard_rules,award,,478,77,209,0.13598326359832635,0.003575740689142751,6.6207259707986195
oscar (best supporting actor),hard_rules,award,,320,72,115,0.19375,0.0033435497353023124,6.68697535633982
oscar (best supporting actress),hard_rules,award,,196,70,68,0.33163265306122447,0.0032506733537661374,6.714754920446896
oscar winner,hard_rules,award,,244,57,145,0.10245901639344263,0.0026469768737809973,6.916991786941792
oscar,hard_rules,award,,100,52,61,0.31,0.002414785919940559,7.007142883936089
palme d'or,hard_rules,award,,123,50,45,0.22764227642276422,0.0023219095384043836,7.045609164763885
potential oscar nom,hard_rules,award,,49,41,10,0.8163265306122449,0.0019039658214915947,7.239765179204842
golden palm,hard_rules,award,,75,39,41,0.18666666666666668,0.0018110894399554194,7.2885553433742745
best picture,hard_rules,award,,44,37,10,0.75,0.001718213058419244,7.3398486377618255
oscar nominee,hard_rules,award,,57,34,34,0.2631578947368421,0.001578898486114981,7.422086735998797
oscar nom 2007,hard_rules,award,,55,33,18,0.6,0.0015324602953468932,7.45107427287205
oscar (best foreign language film),hard_rules,award,,129,31,88,0.07751937984496124,0.001439583913810718,7.511698894688484
sundance award winner,hard_rules,award,,38,30,8,0.47368421052631576,0.0013931457230426303,7.543447593003065
oscar (best music - original score),hard_rules,award,,123,29,68,0.08130081300813008,0.0013467075322745425,7.576237415826055
oscar nominee: director,hard_rules,award,,67,29,29,0.43283582089552236,0.0013467075322745425,7.576237415826055
oscar (best editing),hard_rules,award,,51,26,22,0.2549019607843137,0.0012073929599702795,7.681597931483882
oscar (best sound),hard_rules,award,,74,24,39,0.14864864864864866,0.0011145165784341043,7.75855897262001
academy award nominee,hard_rules,award,,71,24,41,0.28169014084507044,0.0011145165784341043,7.75855897262001
oscar nominee: adapted screenplay,hard_rules,award,,39,24,13,0.6153846153846154,0.0011145165784341043,7.75855897262001
oscar nominee: editing,hard_rules,award,,37,24,11,0.6486486486486487,0.0011145165784341043,7.75855897262001
oscar (best effects - visual effects),hard_rules,award,visual_style,227,23,130,0.04405286343612335,0.0010680783876660166,7.799380967140265
oscar nominee: music - original score,hard_rules,award,,34,23,12,0.6764705882352942,0.0010680783876660166,7.799380967140265
oscar nominee: supporting actor,hard_rules,award,,31,22,9,0.7096774193548387,0.0010216401968979288,7.8419405815590615
oscar nominee: cinematography,hard_rules,award,visual_style,32,20,12,0.625,0.0009287638153617535,7.932912359764788
oscar (best documentary feature),hard_rules,award,,29,19,9,0.5517241379310345,0.0008823256245936658,7.98170252393422
oscar (best music - original song),hard_rules,award,,103,18,64,0.08737864077669903,0.0008358874338255781,8.032995818321771
oscar nominee: lead actor,hard_rules,award,,26,18,9,0.6538461538461539,0.0008358874338255781,8.032995818321771
oscar isaac,hard_rules,award,,85,17,64,0.058823529411764705,0.0007894492430574905,8.087063039592046
oscar (best director),hard_rules,award,,19,17,4,0.8421052631578947,0.0007894492430574905,8.087063039592046
oscar (best original screenplay),hard_rules,award,,30,16,18,0.23333333333333334,0.0007430110522894028,8.144221453431996
oscar nominee: lead actress,hard_rules,award,,21,16,5,0.7619047619047619,0.0007430110522894028,8.144221453431996
oscar nominee: original screenplay,hard_rules,award,,20,16,4,0.8,0.0007430110522894028,8.144221453431996
oscar winning,hard_rules,award,,19,16,4,0.8421052631578947,0.0007430110522894028,8.144221453431996
